SORT,File,Accession Number,Title,Contact Information,Creator,Contributors,Subject,Credit,Description,Notes,Publisher,Date,Type,Format,Extent,Medium,Identifier,Source,Source URL,Language,Relation,Coverage-Spatial,Coverage-Temporal,Rights
12,1984.189.12.jp2,1984.189.12,[Portrait of an unidentified woman],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"Half-length portrait of a woman lying on grass next to a cluster of ferns, some of which lay across her neck and chest.",,,Between 1930 and 1950,Image,glass plate negatives portraits,"5"" x 7""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156154,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
13,1984.189.13.jp2,1984.189.13,[Three Oaks Plantation],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"View of the main house at Three Oaks Plantation, located in Chalmette and built around 1840; now destroyed.  View is from an angle that shows two sides of the heavily columned house, oak trees and some lawn.",,,"Published in the Jefferson Parish Yearly Review, 1947",Image,glass plate negatives,"5"" x 7""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156155,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
14,1984.189.14.jp2,1984.189.14,[Live oak tree],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of the lower half of an old live oak tree that may possibly be in City Park.,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156156,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
15,1984.189.15.jp2,1984.189.15,[Portrait of an unidentified woman],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,Bust length portriat of a woman with a fish net draped over her hair and shoulders.,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156158,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
16,1984.189.16.jp2,1984.189.16,[Two young women and a farm wagon],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of two young women in a rural landscape.  They are posed on either side of an old wooden wagon and holding a bushel basket.  A large oak tree with Spanish moss is in the background.,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156159,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
17,1984.189.17.jp2,1984.189.17,A foggy morning in the Place d'Armes,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of the iron fence and entrance to Jackson Square on the downriver side  or from in front of the Lower Pontalba building. The four lamp fixtures that light the entrance to the square are clearly shown and trees and the St. Louis Cathedral are also visible.,,,"Published, 1938 Patios, Stairways and Iron Lace Balconies of Old New Orleans, C.1938 by Harmanson",Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156163,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
18,1984.189.18.jp2,1984.189.18,Pontalba Building,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"View from inside the square looking diagonally out at the Lower Pontalba Building.  A tree, the iron fence, a street lamp and the Pontalba building are all in view.",,,"Published, 1938 Patios, Stairways and Iron Lace Balconies of Old New Orleans, C.1938 by Harmanson",Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156164,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
19,1984.189.19.jp2,1984.189.19,[Portrait of an unidentified woman],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,Almost full length view of a young woman standing with her back to a large tree.  She is holding a bow in one hand and rests the other on one of four arrows that are stuck into the tree around her body.,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156165,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
20,1984.189.20.jp2,1984.189.20,[Man and boy at Fort McComb],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of a brick archway with a man at the end looking and aiming a gun upward.  A small boy is by the man and also looking upward. Trees are visible in the background.,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156166,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
21,1984.189.21.jp2,1984.189.21,Winding Stairway,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"View of a stairway that leads from the courtyard or patio to the second story of the Marchand mansion at 830 Royal Street, in the Vieux Carre.",,,"Published, 1938 Patios, Stairways and Iron Lace Balconies of Old New Orleans, C. 1938 by Harmanson",Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156167,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
22,1984.189.22.jp2,1984.189.22,[Pile of fish on a dock at Grand Isle],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of maybe one hundred redfish that have been dumped onto a wooden dock.,,,9-Oct-48,Image,glass plate negatives,"5"" x 7""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156169,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
23,1984.189.23.jp2,1984.189.23,[Cemetery along a bayou],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of a country cemetery that shows graves marked by crosses and some by tombstones.  Part of an iron fence that probably surrounds a tomb is visible.  Trees draped with Spanish moss and the water of a bayou are visible in the background.,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156180,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
24,1984.189.24.jp2,1984.189.24,[Girl with a toy spider web],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of young woman looking through a spider web tied of string. A drawn and cut out fly is stuck in the web and the woman looks at the fly from the center of the web.,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156181,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
25,1984.189.25.jp2,1984.189.25,[Building at 600-602 Esplanade Avenue],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"View of a residence at the corner of Esplanade Avenue and Chartres Street, in the Vieux Carre.  The view was taken from the neutral ground and includes a tree and lamp post.",,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156182,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
26,1984.189.26.jp2,1984.189.26,[Nun praying],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"Bust length portrait of a woman wearing a habit and holding an open book, possibly the Bible.  She gazes upward and rays of light from a window with a cross fall toward her face. The window area of this negative has been manipulated.  A thin film like plastic has been taped to the negative plate and drawn on.",,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156183,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
27,1984.189.27.jp2,1984.189.27,[Oak Alley Plantation},louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View that shows part of the main house at Oak Alley Plantation. The view is from the garden and looks toward the house.  Included is tropical vegetation and the branches of a live oak tree.,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156185,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
28,1984.189.28.jp2,1984.189.28,[Cemetery at night],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"View of a cemetery that is lit by candles and the moon. Several tombs are visible and a priest with two boys assisting, performs a ritual.  May possibly be an All Saints Day observance.",,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156187,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
29,1984.189.29.jp2,1984.189.29,[Man with a shotgun],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,Portrait of an older man sitting on a bench outside of a shack. He is holding a shotgun which is pointed upward and wearing tall rubber boots.,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156188,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
30,1984.189.30.jp2,1984.189.30,[Stairway in a patio],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"View of an arched doorway that looks into a courtyard where a wooden stairway goes up to a second floor.  There are potted plants, both hanging and on the floor of the patio.  A spinning wheel, a stork sculpture and a rod of bells are also in view.",,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156189,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
31,1984.189.31.jp2,1984.189.31,"Stairway, McGehee School",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"View of a very grand stairway in the Bradish Johnson mansion at 2343 Prytania Street in the Garden District.  Designed by James Freret and built in 1872, this building now is part of the Louise S. McGehee School.",,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156190,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
32,1984.189.32.jp2,1984.189.32,[Woman and children by a cabin door],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of an older woman sitting on a chair and talking to three children who are sitting on the stoop and bricks in front of the house.  One child holds  cat and another cat stands on the bricks. Miscellaneous household stuff is also visible.,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156191,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
33,1984.189.33.jp2,1984.189.33,[Christian Women's Exchange],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"View of the back of the building at 820 St. Louis Street. Although this building now operates as a private museum, during the period between approximately 1924 and the late 1960's, it was a boarding house for women and a clothing exchange.  Known now as the Hermann Grima House Museum, this view shows three arched doorways, hanging and potted plants, a long narrow room with furnishings and the steps into the courtyard.",,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156192,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
34,1984.189.34.jp2,1984.189.34,[Welding class],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of five young men who stand holding welding torches and wearing the protectuve clothing and headgear of a welder.  An instructor stands apart from the others between three large compressors.,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156193,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
35,1984.189.35.jp2,1984.189.35,[Man with fish],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,Full length view of a man weighing a very large redfish. About eighteen other redfish lay on the concrete around the man's feet. A poster in the background announces a reward for the Grand Isle Tarpon Rodeo.,,,Between 1930 and 1950,Image,negatives (photographs),"6 7/8"" x 4 15/16""",Safety film negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156194,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
36,1984.189.36.jp2,1984.189.36,[Salute to the sun],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,Full length view of the back of a lady standing on a dune or hill and wearing a bathing suit.  Her arms are raised above her head and she faces the sun which is behind a cloud and creates a dramatic sky.,,,Between 1930 and 1950,Image,glass plate negatives,"6 15/16"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156289,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
37,1984.189.37.jp2,1984.189.37,[Extended family in their home],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,"View of a family engaged in various activities in the kitchen of their house.  Four children are playing cards on the floor and being watched by a man sitting on a rocking chair.  The booted leg of another man is partially visible.  A young woman prepares food at a table and behind her, another woman works at a wood burning stove.  A third woman stands in the doorway to another room that appears to be for eating.  There is an iron bed in the kitchen with a calendar on the wall.",,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156523,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
38,1984.189.38.jp2,1984.189.38,Patty McQueen,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,Bust length portrait of a young woman wearing a straw hat. She is holding a bunch of flowers and is partially wrapped in gauze.,,,10-May-49,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156540,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
39,1984.189.39.jp2,1984.189.39,Rue D'Orleans,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View taken at the corner of Orleans and Bourbon Streets and looking toward the St. Louis Cathedral.  Several cars are parked along Orleans Street and two boys with papers lean against a building at the corner.,,,"Published, 1938 Patios, Stairways and Iron Lace Balconies of Old New Orleans, C. Harmanson, 1938",Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156541,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
40,1984.189.40.jp2,1984.189.40,Upholsterer working with moss,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of a man using Spanish moss to stuff the back cushion of a chair.  He appears to be working in a Vieux Carre courtyard and is almost surrounded by banana trees.  Portions of buildings are visible in the background.,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156542,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
41,1984.189.41.jp2,1984.189.41,Nun with a group of boys,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of a nun standing under a portico with six young boys sitting and looking at books.  Benches run along both sides of the portico and six arched brick openings are visible.,,,"Published in the Jefferson Parish Yearly Review, 1956",Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156543,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
42,1984.189.42.jp2,1984.189.42,On the beach at Grand Isle,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View of two young women dancing and a little girl tuning a radio on the beach.  A picnic table and an umbrella are set up on the beach and the Gulf water is visible in the background.,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156544,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
43,1984.189.43.jp2,1984.189.43,[Wooded landscape],louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography; Wetlands and Waterways,The Historic New Orleans Collection,View taken in the woods that includes the forest floor and numerous trees in the foreground and background.,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/156545,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
