Identifier	Child 	Directory	File Name	Title	Name (Creator)	Name (Contributor)	Publisher	Date Created	Date Captured	Subject (Topic)	Subject (Name)	Subject (Geographic)	Subject (Temporal)	Description	Content Note	Type of Resource	Genre	Internet Media Type	Extent	Language	Source	Digital Collection	Relation	Repository Collection Guide	Location (OCLC Member Symbol)	Location (Physical Location)	Location (Institution Web Site)	Location (Department)	Rights	Contact Information	Preferred Citation	Item Number	Record Creation Date	Record Change Date	Cataloged By	Digitized By	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)
33			"3225033_Tung Oil Grove, Bogue Chitto Stock Farm.jpg"	"Tung Oil Grove, Bogue Chitto Stock Farm"	Great Southern Lumber Company			1931-08-04	11/19/2015	Tung tree--Louisiana.; Tung oil industry--Louisiana.; Bogue Chitto Stock Farm		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225033	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2182x3357	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	923 KB	Epson 10000XL/Epson Scan
34			"3225034_Tung Oil Grove, Bogue Chitto Stock Farm.jpg"	"Tung Oil Grove, Bogue Chitto Stock Farm"	Great Southern Lumber Company			1931-08-04	11/19/2015	Tung tree--Louisiana.; Tung oil industry--Louisiana.; Bogue Chitto Stock Farm		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225034	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3360x2189	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1182 KB	Epson 10000XL/Epson Scan
35			3225035_Tung oil Grove. Bogue Chitto Stock Farm.jpg	Tung oil Grove. Bogue Chitto Stock Farm	Great Southern Lumber Company			1931-08-04	11/19/2015	Tung tree--Louisiana.; Tung oil industry--Louisiana.; Bogue Chitto Stock Farm		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225035	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3340x2176	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1264 KB	Epson 10000XL/Epson Scan
36			3225036_Tung Oil Trees.jpg	Tung Oil Trees	Great Southern Lumber Company			1924-1938	11/19/2015	Tung tree--Louisiana.; Tung oil industry--Louisiana 		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225036	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3077x2461	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1656 KB	Epson 10000XL/Epson Scan
37			3225037_D.T. Cushing and Lamont Rowland.jpg	D.T. Cushing and Lamont Rowland	Great Southern Lumber Company			1931-04-16	11/19/2015	"Tung tree--Louisiana--Isabel.; Isabel Stock Farm.; Cushing, Daniel T.; Rowland, Lamont"		Isabel (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225037	1988-11	2016-05	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3418x2157	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1365 KB	Epson 10000XL/Epson Scan
38			3225038_Direct Seeded Plantation No. 8.jpg	Direct Seeded Plantation No. 8	Great Southern Lumber Company			1926-11-19	11/19/2015	Bogue Chitto Stock Farm.; Plantations--Louisiana		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225038	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3375x2180	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1074 KB	Epson 10000XL/Epson Scan
39			3225039_Sixty-five acres at Isabel Stock Farm.jpg	Sixty-five acres at Isabel Stock Farm	Great Southern Lumber Company			1924-1938	11/19/2015	Isabel Stock Farm.; Nursery stock--Louisiana--Isabel		Isabel (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225039	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2489x3059	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1527 KB	Epson 10000XL/Epson Scan
40			3225040_Bogalusa Nursery East of the Highway.jpg	Bogalusa Nursery East of the Highway	Great Southern Lumber Company			1936-03-28	11/19/2015	Nursery stock--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225040	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2183x3344	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1507 KB	Epson 10000XL/Epson Scan
41			"3225041_sixty-five acres at Isabel, F.C. Bateman and Lamont Rowland in foreground.jpg"	"sixty-five acres at Isabel, F.C. Bateman and Lamont Rowland in foreground"	Great Southern Lumber Company			1936-03-28	11/19/2015	"Isabel Stock Farm.; Bateman, F. C.; Rowland, Lamont"		Isabel (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225041	1988-11	2016-05	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2187x3377	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1355 KB	Epson 10000XL/Epson Scan
42			3225042_First plantation Isabel Stock Farm.jpg	First plantation Isabel Stock Farm	Great Southern Lumber Company			1936-03-31	11/19/2015	Isabel Stock Farm.; Plantations--Louisiana--Isabel		Isabel (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225042	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3375x2176	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1382 KB	Epson 10000XL/Epson Scan
43			"3225043_Isabel Stock Farm, the original plantation of 65 acres.jpg"	"Isabel Stock Farm, the original plantation of 65 acres"	Great Southern Lumber Company			1924-1938	11/19/2015	Isabel Stock Farm.; Plantations--Louisiana--Isabel		Isabel (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225043	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3407x2168	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1650 KB	Epson 10000XL/Epson Scan
44			"3225044_East of the Road at the Nursery, Bogalusa.jpg"	"East of the Road at the Nursery, Bogalusa"	Great Southern Lumber Company			1924-1938	11/19/2015	Nursery stock--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225044	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3357x2180	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1394 KB	Epson 10000XL/Epson Scan
45			3225045_Plantation No. 1.jpg	Plantation No. 1	Great Southern Lumber Company			1924-1938	11/19/2015	Plantations--Louisiana		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225045	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2165x3381	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1248 KB	Epson 10000XL/Epson Scan
46			3225046_Tung Oil Tree Plantation.jpg	Tung Oil Tree Plantation	Great Southern Lumber Company			1924-1938	11/19/2015	Tung tree--Louisiana.; Tung oil industry--Louisiana.; Plantations--Louisiana		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225046	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2476x3057	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1336 KB	Epson 10000XL/Epson Scan
47			3225047_East side of Road.jpg	East side of Road	Great Southern Lumber Company			1924-1938	11/19/2015	Tung tree--Louisiana.; Tung oil industry--Louisiana		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225047	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2186x3410	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1493 KB	Epson 10000XL/Epson Scan
